Unnamed: 0,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player_id,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
1509,Alex Fudge,SF,20,DAL,2,0,13.0,2.5,4.5,0.556,0.5,1.5,0.333,2.0,3.0,0.667,0.611,0.0,0.0,0.0,1.0,0.5,1.5,0.0,1.5,0.0,0.5,0.5,5.5,2023,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.8999999999999999,77.0,155.0,116.0,4.0,155.0,8.0,91.0,155.0,0.6538461538461539,455.0,2.29128784747792,369.0
1510,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,2023,20,-0.8181818181818181,0.0,-0.6666666666666667,-1.0,0.0,-0.6996402877697843,-1.0,0.0,0.6,0.0,0.3,149.0,155.0,149.0,155.0,155.0,152.0,155.0,12.0,0.4285714285714285,696.0,2.29128784747792,369.0
1511,Alex Fudge,SF,20,TOT,6,0,6.7,1.0,2.5,0.4,0.2,0.8,0.2,0.8,1.7,0.5,0.433,0.3,0.3,1.0,0.7,0.2,0.8,0.0,0.5,0.0,0.3,0.3,2.5,2023,20,1.5,0.0,0.6000000000000001,0.0,0.0,1.3952095808383231,0.0,0.0,1.5,0.0,0.48,124.0,155.0,143.0,92.0,155.0,115.0,140.0,12.0,0.5671641791044776,584.0,2.29128784747792,369.0
16,Alex Len,C,28,SAC,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4.0,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6.0,2021,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.12,0.41,76.0,48.0,83.0,101.0,72.0,66.0,57.0,79.0,0.7672955974842768,306.0,2.2869193252058544,422.0
826,Alex Len,C,29,SAC,26,2,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,2022,21,-0.7166666666666667,-0.5833333333333333,-0.4390243902439024,-0.3333333333333332,-0.3333333333333332,-0.0018726591760299,-1.0,0.0568356374807985,0.51,0.15,0.69,123.0,102.0,112.0,108.0,101.0,74.0,129.0,76.0,0.8225806451612904,214.0,2.2869193252058544,399.0
1512,Alex Len,C,30,SAC,48,0,9.3,1.0,1.7,0.617,0.0,0.1,0.0,1.0,1.6,0.641,0.617,0.4,0.7,0.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5,2023,21,0.4705882352941177,1.0,0.1739130434782609,0.0,0.7499999999999998,0.1575984990619137,0.0,-0.1453488372093022,1.5,0.6,1.62,99.0,68.0,92.0,99.0,57.0,26.0,119.0,90.0,0.7634408602150538,284.0,2.2869193252058544,365.0
17,Alfonzo McKinnie,SF,29,CHI,17,3,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.9,2.0,0.441,0.467,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,2021,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.03,0.19,109.0,136.0,106.0,136.0,104.0,109.0,79.0,134.0,0.4958677685950413,706.0,0.0,0.0
18,Alize Johnson,PF,25,CHI,16,0,7.6,0.8,1.4,0.522,0.0,0.1,0.0,0.8,1.3,0.571,0.522,0.3,0.4,0.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8,2021,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.2299999999999999,136.0,122.0,123.0,128.0,152.0,38.0,152.0,120.0,0.631578947368421,527.0,0.3535533905932736,34.0
19,Alize Johnson,PF,25,NOP,4,0,7.0,0.8,2.5,0.3,0.0,0.0,0.0,0.8,2.5,0.3,0.3,0.8,1.0,0.75,1.8,1.5,3.3,0.3,0.5,0.0,0.3,0.8,2.3,2021,23,0.2777777777777777,-0.4,0.4347826086956521,1.5,0.0,-0.4252873563218391,0.0,0.3134851138353767,0.2299999999999999,0.03,0.33,129.0,138.0,96.0,75.0,152.0,139.0,152.0,64.0,0.9142857142857144,129.0,0.3535533905932736,34.0
20,Alize Johnson,PF,25,TOT,23,0,7.3,0.7,1.7,0.436,0.0,0.2,0.0,0.7,1.5,0.486,0.436,0.3,0.5,0.583,1.2,1.4,2.7,0.4,0.2,0.0,0.5,0.8,1.8,2021,23,-0.217391304347826,0.3333333333333335,-0.1818181818181817,-0.6,0.0,0.4533333333333333,0.0,-0.2226666666666666,0.18,0.04,0.27,136.0,127.0,110.0,128.0,152.0,103.0,152.0,118.0,0.6986301369863015,412.0,0.3535533905932736,34.0
21,Alize Johnson,PF,25,WAS,3,0,6.0,0.7,2.0,0.333,0.0,0.7,0.0,0.7,1.3,0.5,0.333,0.0,0.3,0.0,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3,2021,23,-0.2777777777777778,-1.0,0.4814814814814814,-1.0,0.0,-0.2362385321100917,0.0,-1.0,0.13,0.0,0.4,142.0,152.0,80.0,152.0,152.0,137.0,152.0,152.0,0.8833333333333333,158.0,0.3535533905932736,34.0
827,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,2022,23,0.3846153846153846,0.0,-0.375,0.0,0.0,0.5015015015015014,0.0,0.0,0.54,0.09,0.75,113.0,110.0,88.0,98.0,117.0,38.0,117.0,107.0,0.6533333333333332,459.0,0.3535533905932736,24.0
828,Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2022,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,168.0,168.0,150.0,168.0,168.0,168.0,168.0,168.0,0.2,674.0,0.4949747468305832,48.0
1513,Alondes Williams,SG,24,MIA,7,0,2.3,0.3,1.1,0.25,0.0,0.6,0.0,0.3,0.6,0.5,0.25,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.3,0.7,2023,24,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.06,151.0,154.0,149.0,154.0,130.0,145.0,154.0,8.0,0.391304347826087,703.0,0.4949747468305832,37.0
1514,Alperen Sengun,C,21,HOU,63,63,32.5,8.4,15.6,0.537,0.5,1.8,0.297,7.8,13.8,0.567,0.553,3.9,5.6,0.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1,2023,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.66,3.0,5.58,6.0,4.0,16.0,12.0,57.0,67.0,45.0,70.0,1.147692307692308,19.0,0.0,0.0
22,Alperen Þengün,C,19,HOU,72,13,20.7,3.5,7.3,0.474,0.4,1.6,0.248,3.1,5.7,0.539,0.502,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2.0,3.0,9.6,2021,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.26,0.55,33.0,17.0,54.0,28.0,33.0,98.0,65.0,57.0,0.9371980676328502,108.0,3.676955262170048,617.0
829,Alperen Þengün,C,20,HOU,75,72,28.9,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,0.565,2.7,3.8,0.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,14.8,2022,26,0.5416666666666667,0.5,0.6363636363636365,0.125,0.0,0.1666666666666667,0.342741935483871,0.0056258790436005,4.44,1.17,2.7,15.0,5.0,22.0,17.0,38.0,62.0,53.0,59.0,1.0207612456747404,61.0,3.676955262170048,589.0
1515,Amari Bailey,PG,19,CHO,10,0,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.7,1.6,0.438,0.354,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0.0,0.4,0.2,2.3,2023,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.42,0.54,127.0,133.0,127.0,125.0,147.0,128.0,130.0,36.0,0.6461538461538462,471.0,0.0,0.0
1516,Amen Thompson,SF,21,HOU,62,23,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5,2023,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1.56,3.959999999999999,44.0,26.0,8.0,8.0,31.0,12.0,145.0,105.0,0.9196428571428572,126.0,0.0,0.0
23,Amir Coffey,SG,24,LAC,69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9.0,2021,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.18,0.29,74.0,85.0,74.0,101.0,112.0,47.0,55.0,47.0,0.6387665198237885,512.0,2.809507667427397,535.0
830,Amir Coffey,SG,25,LAC,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1.0,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,2022,29,-0.6222222222222222,-0.3888888888888888,-0.6206896551724137,-0.8333333333333333,-0.5,-0.1479028697571743,-0.2724867724867724,-0.0984936268829663,1.02,0.33,0.33,134.0,108.0,144.0,159.0,140.0,135.0,142.0,90.0,0.4639999999999999,648.0,2.809507667427397,498.0
1517,Amir Coffey,SF,26,LAC,70,13,20.9,2.4,5.0,0.472,1.0,2.6,0.38,1.4,2.4,0.571,0.571,0.9,1.0,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6,2023,29,0.9411764705882352,0.0,0.909090909090909,4.999999999999999,1.0,0.2227979274611398,0.3818181818181816,0.1041131105398456,3.959999999999999,0.66,1.26,69.0,73.0,93.0,76.0,96.0,48.0,45.0,27.0,0.507177033492823,654.0,2.809507667427397,467.0
24,Andre Drummond,C,28,BRK,24,24,22.3,5.0,8.1,0.61,0.0,0.0,0.0,5.0,8.1,0.613,0.61,1.8,3.4,0.537,3.9,6.4,10.3,1.4,0.9,1.0,1.5,3.0,11.8,2021,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1800000000000002,0.1399999999999999,1.03,23.0,38.0,11.0,21.0,27.0,35.0,130.0,103.0,1.1390134529147982,23.0,2.3564804263986576,439.0
25,Andre Drummond,C,28,PHI,49,12,18.4,2.6,4.9,0.538,0.0,0.0,0.0,2.6,4.8,0.542,0.538,0.9,1.7,0.512,2.8,6.1,8.8,2.0,1.1,0.9,1.6,2.5,6.1,2021,30,-0.4830508474576271,0.4285714285714286,-0.1456310679611649,0.2222222222222223,-0.0999999999999999,-0.1180327868852458,0.0,-0.0465549348230912,0.61,0.2,0.8800000000000001,74.0,26.0,22.0,8.0,33.0,64.0,130.0,107.0,1.0271739130434785,59.0,2.3564804263986576,439.0
26,Andre Drummond,C,28,TOT,73,36,19.7,3.4,5.9,0.57,0.0,0.0,0.0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,2021,30,0.2950819672131148,-0.0999999999999999,0.0568181818181818,0.0,0.0,0.0594795539033454,0.0,0.0234375,0.79,0.18,0.9300000000000002,58.0,27.0,20.0,8.0,33.0,51.0,130.0,105.0,1.065989847715736,45.0,2.3564804263986576,439.0
831,Andre Drummond,C,29,CHI,67,0,12.7,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,0.606,1.0,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0,2022,30,-0.2405063291139241,-0.7222222222222222,-0.2903225806451613,-0.3636363636363637,-0.5555555555555556,0.063157894736842,0.0,0.0229007633587785,1.7999999999999998,0.15,1.98,68.0,102.0,41.0,29.0,101.0,43.0,129.0,113.0,1.1181102362204725,27.0,2.3564804263986576,414.0
1518,Andre Drummond,C,30,CHI,79,10,17.1,3.4,6.1,0.556,0.0,0.0,0.0,3.4,6.0,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9.0,0.5,0.9,0.6,1.0,1.8,8.4,2023,30,0.4000000000000001,0.0,0.3636363636363637,0.2857142857142858,0.4999999999999998,-0.0825082508250824,0.0,0.1044776119402983,5.04,0.3,5.4,43.0,92.0,18.0,20.0,68.0,60.0,119.0,89.0,1.134502923976608,25.0,2.3564804263986576,383.0
27,Andre Iguodala,SF,38,GSW,31,0,19.5,1.5,3.9,0.38,0.5,2.4,0.23,0.9,1.5,0.617,0.45,0.5,0.6,0.75,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4.0,2021,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.37,0.32,104.0,9.0,64.0,40.0,9.0,112.0,126.0,78.0,0.6410256410256411,505.0,1.34350288425444,205.0
832,Andre Iguodala,SF,39,GSW,8,0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,2022,31,-0.475,-0.3513513513513514,-0.34375,-0.4444444444444444,-0.4285714285714285,0.2289473684210528,-0.5173913043478261,-0.1106666666666665,0.63,0.72,0.63,111.0,25.0,93.0,80.0,37.0,51.0,119.0,101.0,0.5319148936170213,611.0,1.34350288425444,210.0
1519,Andre Jackson Jr.,SG,22,MIL,57,8,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,2023,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.54,1.2,129.0,113.0,82.0,118.0,130.0,18.0,58.0,105.0,0.5499999999999999,614.0,0.0,0.0
1520,Andrew Funk,SG,24,CHI,5,0,2.6,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2023,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,154.0,134.0,90.0,154.0,154.0,154.0,0.1538461538461538,728.0,0.0,0.0
833,Andrew Nembhard,SG,23,IND,75,63,27.6,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.512,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,2022,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,1.35,0.81,59.0,13.0,68.0,36.0,97.0,72.0,106.0,80.0,0.6449275362318839,471.0,0.2121320343559647,16.0
