Unnamed: 0,rk,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,pts_improvement,ast_improvement,trb_improvement,stl_improvement,blk_improvement,fg%_improvement,3p%_improvement,ft%_improvement,weighted_pts,weighted_ast,weighted_trb,pts_positional_rank,ast_positional_rank,trb_positional_rank,stl_positional_rank,blk_positional_rank,fg%_positional_rank,3p%_positional_rank,ft%_positional_rank,efficiency,efficiency_rank,consistency_score,consistency_rank
53,44,DeAndre' Bembry,SF,27,MIL,8,0,9.6,0.4,1.0,0.375,0.0,0.0,0.0,0.4,1.0,0.375,0.375,0.0,0.0,0.0,0.5,0.9,1.4,0.8,0.3,0.0,0.1,1.1,0.8,2022,-0.8620689655172413,-0.3846153846153846,-0.5625,-0.7,-1.0,-0.33978873239436613,-1.0,-1.0,0.08000000000000002,0.08000000000000002,0.13999999999999999,144.0,100.0,126.0,120.0,158.0,116.0,158.0,158.0,0.34375,781.0,2.7073972741361767,177.0
51,44,DeAndre' Bembry,SF,27,TOT,56,20,18.3,2.2,3.9,0.561,0.3,0.6,0.417,1.9,3.3,0.589,0.595,0.4,0.6,0.6,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1,2022,5.374999999999999,0.4999999999999998,1.0714285714285716,2.0,,0.4960000000000002,,,0.51,0.12,0.29,87.0,61.0,76.0,40.0,60.0,5.0,12.0,114.0,0.5737704918032787,615.0,2.7073972741361767,177.0
369,275,DeJon Jarreau,SG,24,IND,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,,,,,,,,,0.0,0.0,0.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,0.0,812.0,3.394112549695428,93.0
2252,252,DeJon Jarreau,SG,26,MEM,9,0,16.7,1.9,5.6,0.34,0.4,1.4,0.308,1.4,4.1,0.351,0.38,0.6,1.2,0.455,0.9,4.0,4.9,2.9,0.7,0.2,1.0,1.6,4.8,2024,,,,,,,,,2.88,1.74,2.94,95.0,38.0,15.0,58.0,90.0,135.0,107.0,139.0,0.8083832335329341,234.0,3.394112549695428,95.0
167,134,DeMar DeRozan,PF,32,CHI,76,76,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,2022,,,,,,,,,2.79,0.49000000000000005,0.52,3.0,7.0,44.0,32.0,102.0,52.0,51.0,12.0,1.0858725761772852,38.0,2.1221058723195996,293.0
1179,117,DeMar DeRozan,SF,33,CHI,74,74,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,2023,-0.12186379928315405,0.04081632653061207,-0.11538461538461553,0.22222222222222232,0.6666666666666667,0.0,-0.07954545454545447,-0.005701254275940704,7.35,1.5299999999999998,1.38,6.0,3.0,25.0,16.0,22.0,15.0,79.0,19.0,0.988950276243094,78.0,2.1221058723195996,280.0
2084,120,DeMar DeRozan,SF,34,CHI,79,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2.0,24.0,2024,-0.020408163265306145,0.03921568627450989,-0.06521739130434778,0.0,0.19999999999999996,-0.04761904761904767,0.0277777777777779,-0.02178899082568808,14.399999999999999,3.1799999999999997,2.5799999999999996,1.0,3.0,33.0,17.0,31.0,43.0,91.0,29.0,0.9338624338624341,116.0,2.1221058723195996,295.0
145,118,DeMarcus Cousins,C,31,DEN,31,2,13.9,3.0,6.6,0.456,0.8,2.4,0.324,2.3,4.3,0.53,0.515,2.1,2.8,0.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3.0,8.9,2022,,,,,,,,,0.8900000000000001,0.17,0.55,44.0,28.0,54.0,49.0,98.0,110.0,46.0,44.0,1.2302158273381296,14.0,0.09999999999999964,683.0
144,118,DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,0.466,0.8,2.8,0.271,2.5,4.1,0.6,0.521,1.8,2.2,0.816,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1,2022,0.022471910112359383,-0.3529411764705882,0.05454545454545445,0.5,0.25,0.021929824561403466,-0.1635802469135802,0.10869565217391308,0.91,0.11000000000000001,0.58,40.0,54.0,44.0,21.0,85.0,105.0,58.0,16.0,1.029585798816568,56.0,0.09999999999999964,683.0
143,118,DeMarcus Cousins,C,31,TOT,48,7,15.0,3.1,6.8,0.46,0.8,2.5,0.303,2.3,4.2,0.554,0.517,2.0,2.6,0.76,1.5,4.1,5.6,1.5,0.7,0.4,1.8,2.9,9.0,2022,-0.01098901098901095,0.36363636363636354,-0.034482758620689724,-0.22222222222222232,-0.19999999999999996,-0.012875536480686733,0.11808118081180807,-0.06862745098039214,0.9,0.15000000000000002,0.5599999999999999,42.0,34.0,50.0,37.0,98.0,106.0,53.0,34.0,1.1466666666666667,21.0,0.09999999999999964,683.0
